episode,sample_index,question,action_prompt,reference,prediction,score,context
3,1,1855년 태국과 영국 사이에 맺은 조약은?,"질문에 대한 답변은 문맥에서 확인된 핵심 정보만을 사용하여, 첫 문장에서 간결하고 정확하게 결론을 제시하십시오. 추가 설명은 반드시 질문에 직접 관련된 필수 사실이나 수치를 보충하는 범위로 제한하며, 불필요한 배경 이야기나 인물 관계·감정·사건 전개 등 부차적 정보는 포함하지 마십시오. 문장은 짧고 명료하게 구성하고, 전문적이고 중립적인 어투를 유지하여 독자가 즉시 핵심을 파악할 수 있도록 하십시오. 전체 답변은 질문에 대한 직접적이고 완결된 응답이 되도록 작성하십시오.",통상우호조약,1855년 태국과 영국은 통상우호조약을 체결했다.,0.5259369207002109,
3,2,7번선과 11번선 방면 안내판은 쇼난 신주쿠 라인의 개통에 따른 업데이트로 어떤 색상으로 변경되었나?,"질문에 대한 답변은 문맥에서 확인된 핵심 정보만을 사용하여, 첫 문장에서 간결하고 정확하게 결론을 제시하십시오. 추가 설명은 반드시 질문에 직접 관련된 필수 사실이나 수치를 보충하는 범위로 제한하며, 불필요한 배경 이야기나 인물 관계·감정·사건 전개 등 부차적 정보는 포함하지 마십시오. 문장은 짧고 명료하게 구성하고, 전문적이고 중립적인 어투를 유지하여 독자가 즉시 핵심을 파악할 수 있도록 하십시오. 전체 답변은 질문에 대한 직접적이고 완결된 응답이 되도록 작성하십시오.",주황색,주황색으로 변경되었다.,0.8133208044755471,
3,3,원터롤리는 누구에게 포탄의 개수를 알아내라고 하였는가?,"질문에 대한 답변은 문맥에서 확인된 핵심 정보만을 사용하여, 첫 문장에서 간결하고 정확하게 결론을 제시하십시오. 추가 설명은 반드시 질문에 직접 관련된 필수 사실이나 수치를 보충하는 범위로 제한하며, 불필요한 배경 이야기나 인물 관계·감정·사건 전개 등 부차적 정보는 포함하지 마십시오. 문장은 짧고 명료하게 구성하고, 전문적이고 중립적인 어투를 유지하여 독자가 즉시 핵심을 파악할 수 있도록 하십시오. 전체 답변은 질문에 대한 직접적이고 완결된 응답이 되도록 작성하십시오.",토머스 해리엇,월터 롤리는 토머스 해리엇에게 포탄의 개수를 알아내라고 하였다.,0.7209267949090729,
3,4,Artpop은 발매 첫 주 몇장의 음반을 팔았는가?,"질문에 대한 답변은 문맥에서 확인된 핵심 정보만을 사용하여, 첫 문장에서 간결하고 정확하게 결론을 제시하십시오. 추가 설명은 반드시 질문에 직접 관련된 필수 사실이나 수치를 보충하는 범위로 제한하며, 불필요한 배경 이야기나 인물 관계·감정·사건 전개 등 부차적 정보는 포함하지 마십시오. 문장은 짧고 명료하게 구성하고, 전문적이고 중립적인 어투를 유지하여 독자가 즉시 핵심을 파악할 수 있도록 하십시오. 전체 답변은 질문에 대한 직접적이고 완결된 응답이 되도록 작성하십시오.","258,000장","Artpop은 발매 첫 주에 258,000장을 판매했다.",0.7243029748310449,
3,5,공항에서 가장 오래된 터미널은?,"질문에 대한 답변은 문맥에서 확인된 핵심 정보만을 사용하여, 첫 문장에서 간결하고 정확하게 결론을 제시하십시오. 추가 설명은 반드시 질문에 직접 관련된 필수 사실이나 수치를 보충하는 범위로 제한하며, 불필요한 배경 이야기나 인물 관계·감정·사건 전개 등 부차적 정보는 포함하지 마십시오. 문장은 짧고 명료하게 구성하고, 전문적이고 중립적인 어투를 유지하여 독자가 즉시 핵심을 파악할 수 있도록 하십시오. 전체 답변은 질문에 대한 직접적이고 완결된 응답이 되도록 작성하십시오.",터미널 4,공항에서 가장 오래된 터미널은 마닐라 국내선 터미널(터미널 4)입니다.,0.6040324206559649,
4,1,1970년대 초 AKA가 보호하기 위해 2만 달러를 기부했던 대상은 누구인가?,"질문에 대한 답변은 첫 문장에서 필요한 핵심 용어나 명칭, 수치 등 직접적인 결론만 단독으로 제시하십시오. 그 후 추가 설명은 반드시 문맥에서 확인된 필수 정보만을 간결하게 보충하며, 불필요한 배경 서술이나 문학적 표현을 배제하십시오. 전체 문장은 짧고 단정하게 구성하고, 전문적이고 중립적인 어투를 유지하여 응답이 명확하고 압축된 형태로 완결성을 갖추도록 하십시오.",마틴 루서 킹,"마틴 루서 킹.  
1970년대 초 AKA는 조지아주 애틀란타의 마틴 루서 킹 주니어 생가에서 그를 보호하기 위해 2만 달러를 기부하였다.",0.5696078541295985,
4,2,전국적인 행정구역 개편을 단행한 곳은?,"질문에 대한 답변은 첫 문장에서 필요한 핵심 용어나 명칭, 수치 등 직접적인 결론만 단독으로 제시하십시오. 그 후 추가 설명은 반드시 문맥에서 확인된 필수 정보만을 간결하게 보충하며, 불필요한 배경 서술이나 문학적 표현을 배제하십시오. 전체 문장은 짧고 단정하게 구성하고, 전문적이고 중립적인 어투를 유지하여 응답이 명확하고 압축된 형태로 완결성을 갖추도록 하십시오.",조선총독부,조선총독부. 1914년 전국적인 행정구역 개편을 실시하여 정동의 명칭과 구역을 변경하였다.,0.5415638032319258,
4,3,세부에서 국제공항이 있는 지역은 어디인가?,"질문에 대한 답변은 첫 문장에서 필요한 핵심 용어나 명칭, 수치 등 직접적인 결론만 단독으로 제시하십시오. 그 후 추가 설명은 반드시 문맥에서 확인된 필수 정보만을 간결하게 보충하며, 불필요한 배경 서술이나 문학적 표현을 배제하십시오. 전체 문장은 짧고 단정하게 구성하고, 전문적이고 중립적인 어투를 유지하여 응답이 명확하고 압축된 형태로 완결성을 갖추도록 하십시오.",막탄 섬,막탄 섬. 세부 해협 동쪽에 위치하며 세부 국제공항이 설치되어 있다.,0.5998764618796311,
4,4,2008년 사이다에서 출연했던 코너는?,"질문에 대한 답변은 첫 문장에서 필요한 핵심 용어나 명칭, 수치 등 직접적인 결론만 단독으로 제시하십시오. 그 후 추가 설명은 반드시 문맥에서 확인된 필수 정보만을 간결하게 보충하며, 불필요한 배경 서술이나 문학적 표현을 배제하십시오. 전체 문장은 짧고 단정하게 구성하고, 전문적이고 중립적인 어투를 유지하여 응답이 명확하고 압축된 형태로 완결성을 갖추도록 하십시오.",안나의 실수,〈안나의 실수〉. 2008년 《사이다》 프로그램의 해당 코너에 출연했다.,0.6874329540761691,
4,5,채스테인이 2011년 브래드 피트와 함께 주연을 맡았던 영화는 무엇인가?,"질문에 대한 답변은 첫 문장에서 필요한 핵심 용어나 명칭, 수치 등 직접적인 결론만 단독으로 제시하십시오. 그 후 추가 설명은 반드시 문맥에서 확인된 필수 정보만을 간결하게 보충하며, 불필요한 배경 서술이나 문학적 표현을 배제하십시오. 전체 문장은 짧고 단정하게 구성하고, 전문적이고 중립적인 어투를 유지하여 응답이 명확하고 압축된 형태로 완결성을 갖추도록 하십시오.",트리 오브 라이프,"《트리 오브 라이프》. 2011년 테렌스 맬릭 감독의 실험적 드라마로, 브래드 피트와 함께 주연을 맡았다.",0.3596735054977925,
5,1,목탁수구리 윗턱에 있는 이빨의 갯수는?,"질문에 대한 답변은 첫 문장에서 질문에 맞는 정확한 결론만을 단독으로 제시하십시오. 결론에는 불필요한 수식어, 배경 설명, 인물·작품의 추가 정보 등을 포함하지 말고, 문맥에서 확인된 핵심 명칭이나 수치만 사용하십시오. 이후 문장은 추가 설명 없이 답변을 종료하며, 전체 어투는 간결하고 중립적으로 유지하여 한눈에 정답이 드러나도록 하십시오.",47개,47개.,0.9671059552937102,
5,2,합작문예가 와카를 누르고 유행한 시대는?,"질문에 대한 답변은 첫 문장에서 질문에 맞는 정확한 결론만을 단독으로 제시하십시오. 결론에는 불필요한 수식어, 배경 설명, 인물·작품의 추가 정보 등을 포함하지 말고, 문맥에서 확인된 핵심 명칭이나 수치만 사용하십시오. 이후 문장은 추가 설명 없이 답변을 종료하며, 전체 어투는 간결하고 중립적으로 유지하여 한눈에 정답이 드러나도록 하십시오.",무로마치 시대,무로마치 시대.,0.9825399697322358,
5,3,자치단체국제환경협의회가 열린 도시는 어디인가?,"질문에 대한 답변은 첫 문장에서 질문에 맞는 정확한 결론만을 단독으로 제시하십시오. 결론에는 불필요한 수식어, 배경 설명, 인물·작품의 추가 정보 등을 포함하지 말고, 문맥에서 확인된 핵심 명칭이나 수치만 사용하십시오. 이후 문장은 추가 설명 없이 답변을 종료하며, 전체 어투는 간결하고 중립적으로 유지하여 한눈에 정답이 드러나도록 하십시오.",뉴욕,뉴욕.,0.9698208857624018,
5,4,오타리온주 당국은 승객이 up 익스프레스 노선이 하루에 몇명을 실어나를 것이라고 전망했는가?,"질문에 대한 답변은 첫 문장에서 질문에 맞는 정확한 결론만을 단독으로 제시하십시오. 결론에는 불필요한 수식어, 배경 설명, 인물·작품의 추가 정보 등을 포함하지 말고, 문맥에서 확인된 핵심 명칭이나 수치만 사용하십시오. 이후 문장은 추가 설명 없이 답변을 종료하며, 전체 어투는 간결하고 중립적으로 유지하여 한눈에 정답이 드러나도록 하십시오.",5천 명,5천 명,1.0000000000000007,
5,5,브리트니 스피어스가 사귀었던 사람은?,"질문에 대한 답변은 첫 문장에서 질문에 맞는 정확한 결론만을 단독으로 제시하십시오. 결론에는 불필요한 수식어, 배경 설명, 인물·작품의 추가 정보 등을 포함하지 말고, 문맥에서 확인된 핵심 명칭이나 수치만 사용하십시오. 이후 문장은 추가 설명 없이 답변을 종료하며, 전체 어투는 간결하고 중립적으로 유지하여 한눈에 정답이 드러나도록 하십시오.",저스틴 팀버레이크,저스틴 팀버레이크.,0.9815569463239493,
6,1,신 일베저장소가 만들어진 해는?,"질문에 대한 답변은 첫 문장에서 문맥에서 확인된 핵심 수치나 명칭을 정확히 제시하고, 단위나 조사 등을 포함하여 완전한 형태로 작성하십시오. 불필요한 수식어나 배경 설명은 제외하되, 의미가 모호해지지 않도록 문장을 자연스럽게 완결해 주십시오. 전체 어투는 간결하고 중립적으로 유지하며, 답변은 한 문장으로 명확하게 마무리하십시오.",2010년,신 일베저장소가 만들어진 해는 2010년입니다.,0.5692341522715476,
6,2,카톨릭권에서 기밀 유지와 역사 기록을 위해 사용한 언어는 무엇인가?,"질문에 대한 답변은 첫 문장에서 문맥에서 확인된 핵심 수치나 명칭을 정확히 제시하고, 단위나 조사 등을 포함하여 완전한 형태로 작성하십시오. 불필요한 수식어나 배경 설명은 제외하되, 의미가 모호해지지 않도록 문장을 자연스럽게 완결해 주십시오. 전체 어투는 간결하고 중립적으로 유지하며, 답변은 한 문장으로 명확하게 마무리하십시오.",라틴어,카톨릭권에서 기밀 유지와 역사 기록을 위해 사용한 언어는 라틴어이다.,0.6370052392083074,
6,3,윤성빈이 첫 출전한 올림픽에서의 순위는?,"질문에 대한 답변은 첫 문장에서 문맥에서 확인된 핵심 수치나 명칭을 정확히 제시하고, 단위나 조사 등을 포함하여 완전한 형태로 작성하십시오. 불필요한 수식어나 배경 설명은 제외하되, 의미가 모호해지지 않도록 문장을 자연스럽게 완결해 주십시오. 전체 어투는 간결하고 중립적으로 유지하며, 답변은 한 문장으로 명확하게 마무리하십시오.",16위,윤성빈이 첫 출전한 올림픽에서의 순위는 16위이다.,0.5745208207128011,
6,4,마라의 쓴물이 단물로 변한 이야기는 성경의 어느 편인가?,"질문에 대한 답변은 첫 문장에서 문맥에서 확인된 핵심 수치나 명칭을 정확히 제시하고, 단위나 조사 등을 포함하여 완전한 형태로 작성하십시오. 불필요한 수식어나 배경 설명은 제외하되, 의미가 모호해지지 않도록 문장을 자연스럽게 완결해 주십시오. 전체 어투는 간결하고 중립적으로 유지하며, 답변은 한 문장으로 명확하게 마무리하십시오.",출애굽,마라의 쓴물이 단물로 변한 이야기는 성경 출애굽기 15장에 기록되어 있습니다.,0.3210148560522595,
6,5,삼촌 압둘 라힘 바치크가 결성하고 보컬로 할동한 밴드의 이름은?,"질문에 대한 답변은 첫 문장에서 문맥에서 확인된 핵심 수치나 명칭을 정확히 제시하고, 단위나 조사 등을 포함하여 완전한 형태로 작성하십시오. 불필요한 수식어나 배경 설명은 제외하되, 의미가 모호해지지 않도록 문장을 자연스럽게 완결해 주십시오. 전체 어투는 간결하고 중립적으로 유지하며, 답변은 한 문장으로 명확하게 마무리하십시오.",패밀리 그룹,삼촌 압둘 라힘 바치크가 결성하고 보컬로 활동한 밴드의 이름은 패밀리 그룹(Family Group)입니다.,0.6133488882543789,
7,1,프랑스의 척후병이자 저격병인 인물은?,"질문에 대한 답변은 첫 문장에서 문맥에서 확인된 핵심 명칭이나 단어만 단독으로 제시하십시오. 추가적인 장·절, 세부 수치, 사건 설명 등은 포함하지 말고, 불필요한 문장 연결이나 부연 없이 해당 단어만 정확하게 출력하십시오. 어투는 간결하고 중립적으로 유지하며, 답변은 한 단어 또는 최소한의 핵심어로만 완결하십시오.",티라일레우,티라일레우,1.0000000000000013,
7,2,경혜공주의 할아버지는?,"질문에 대한 답변은 첫 문장에서 문맥에서 확인된 핵심 명칭이나 단어만 단독으로 제시하십시오. 추가적인 장·절, 세부 수치, 사건 설명 등은 포함하지 말고, 불필요한 문장 연결이나 부연 없이 해당 단어만 정확하게 출력하십시오. 어투는 간결하고 중립적으로 유지하며, 답변은 한 단어 또는 최소한의 핵심어로만 완결하십시오.",세종,세종,1.0000000000000004,
7,3,2007-08 NBA시즌에서 폴은 무엇에 지명되었나?,"질문에 대한 답변은 첫 문장에서 문맥에서 확인된 핵심 명칭이나 단어만 단독으로 제시하십시오. 추가적인 장·절, 세부 수치, 사건 설명 등은 포함하지 말고, 불필요한 문장 연결이나 부연 없이 해당 단어만 정확하게 출력하십시오. 어투는 간결하고 중립적으로 유지하며, 답변은 한 단어 또는 최소한의 핵심어로만 완결하십시오.",NBA 올스타 게임,NBA 올스타 게임,1.000000000000001,
7,4,윤잉의 어머니는 누구인가?,"질문에 대한 답변은 첫 문장에서 문맥에서 확인된 핵심 명칭이나 단어만 단독으로 제시하십시오. 추가적인 장·절, 세부 수치, 사건 설명 등은 포함하지 말고, 불필요한 문장 연결이나 부연 없이 해당 단어만 정확하게 출력하십시오. 어투는 간결하고 중립적으로 유지하며, 답변은 한 단어 또는 최소한의 핵심어로만 완결하십시오.",효성인황후,효성인황후,1.0000000000000004,
7,5,영업용이 단종된 때는?,"질문에 대한 답변은 첫 문장에서 문맥에서 확인된 핵심 명칭이나 단어만 단독으로 제시하십시오. 추가적인 장·절, 세부 수치, 사건 설명 등은 포함하지 말고, 불필요한 문장 연결이나 부연 없이 해당 단어만 정확하게 출력하십시오. 어투는 간결하고 중립적으로 유지하며, 답변은 한 단어 또는 최소한의 핵심어로만 완결하십시오.",2016년 1월,2016년 1월,1.0000000000000009,
8,1,현존하는 세계제인 학제간 연구기관은?,"질문에 대한 답변은 문맥에서 확인된 핵심 정보를 첫 문장에서 완전한 문장으로 제시하십시오. 대상의 명칭, 인물 이름, 수치나 날짜 등 필수 요소를 정확히 포함하고, 필요한 경우 주어와 서술어를 갖춘 자연스러운 문장 형태로 작성하십시오. 불필요한 배경 설명이나 반복은 배제하되, 의미가 모호해지지 않도록 최소한의 필수 맥락을 포함하십시오. 어투는 간결하고 중립적으로 유지하며, 답변은 한 문장으로 명확히 완료하십시오.",MIT 미디어랩,현존하는 세계적인 학제간 연구기관은 MIT 미디어랩이다.,0.8412303967619479,
8,2,석영유리의 원료를 유리화하려면 몇 도 이상의 고온이 필요한가?,"질문에 대한 답변은 문맥에서 확인된 핵심 정보를 첫 문장에서 완전한 문장으로 제시하십시오. 대상의 명칭, 인물 이름, 수치나 날짜 등 필수 요소를 정확히 포함하고, 필요한 경우 주어와 서술어를 갖춘 자연스러운 문장 형태로 작성하십시오. 불필요한 배경 설명이나 반복은 배제하되, 의미가 모호해지지 않도록 최소한의 필수 맥락을 포함하십시오. 어투는 간결하고 중립적으로 유지하며, 답변은 한 문장으로 명확히 완료하십시오.","1,717℃","석영유리의 원료를 유리화하려면 1,717℃ 이상의 고온이 필요하다.",0.5348169790639459,
8,3,아사미 유마의 부모님이 경영하던 가게는?,"질문에 대한 답변은 문맥에서 확인된 핵심 정보를 첫 문장에서 완전한 문장으로 제시하십시오. 대상의 명칭, 인물 이름, 수치나 날짜 등 필수 요소를 정확히 포함하고, 필요한 경우 주어와 서술어를 갖춘 자연스러운 문장 형태로 작성하십시오. 불필요한 배경 설명이나 반복은 배제하되, 의미가 모호해지지 않도록 최소한의 필수 맥락을 포함하십시오. 어투는 간결하고 중립적으로 유지하며, 답변은 한 문장으로 명확히 완료하십시오.",필리핀 펍,아사미 유마의 부모님이 경영하던 가게는 일본 최초의 필리핀 펍이다.,0.451731435832182,
